iternum,G,E,Dx,Dz,Rx,Rz
0,0.015834129881113768,0.0532002547836822,0.11840750892525134,0.7787670467210852,0.8729044380395309,0.46377672449402185
1,0.025827167312736096,0.05510966398793718,0.010853396181988976,0.7692388140636942,0.7654451183650804,0.34718495996102045
2,0.03154464187505453,0.05729436275103818,0.004670464924698615,0.7604034698527792,0.5836364147455796,0.24625558697659036
3,0.03664810801653758,0.059246558372093285,0.0035491098457461467,0.752695848112521,0.39598096842351166,0.18016012790410416
4,0.04171836700128472,0.061162472419116806,0.0027377342719220273,0.7521341676297395,0.30173438593097357,0.13352275574984757
5,0.041271075930284416,0.06304600446120552,0.001558919876317858,0.7468663168990094,0.25356813487799273,0.1039030535713486
6,0.041142960058768156,0.06468516231878944,0.18472009893182828,0.7441700463709624,0.23060748888098676,0.0870265145988568
7,0.036190944116400635,0.06653600898773773,0.040677191173333835,0.7419657707214355,0.2238554973965106,0.0751158423397852
8,0.032496865757781525,0.06796065491178761,0.006245123100993426,0.7403886214546536,0.2179490133472111,0.06945378462905469
9,0.03262025296040203,0.06934312990178233,0.006570249522590767,0.7314557692278987,0.21208750618540723,0.061076452226742454
10,0.03239039922861949,0.06998201394858568,0.009562984584709224,0.7317495242409084,0.21135026475657587,0.05665093174447184
11,0.03877397391783154,0.07052428275346756,0.03367624613304582,0.7317532404609348,0.20581016462782156,0.05330736870351045
12,0.03531812386506278,0.07091220371101213,0.020453389764398984,0.7327082986417024,0.2068621593972911,0.04992873999087707
13,0.036347087999076946,0.07154265143301176,0.10498221031309146,0.7337353540503461,0.20554346558840378,0.051667773691208466
14,0.035517052301894066,0.07245884803326233,0.05592018245395435,0.7285643841909326,0.1988181400558223,0.0457612643747226
15,0.03191028762122859,0.0726578796039457,0.03649905760286619,0.7269563882247262,0.19734275405821594,0.04587250704998556
16,0.03143779390602899,0.07291671050631482,0.13265732513821643,0.7277785047240879,0.1957496631404628,0.04082559194901715
17,0.03216187020196863,0.07328059232753256,0.09032605011421053,0.7287710023962933,0.19594711194867673,0.04072177596390247
18,0.026522791013121605,0.07306763076263925,0.09090884971310911,0.7251468922780908,0.1988978586767031,0.03911080154711786
19,0.03020754784507596,0.07341103547293207,0.15078222470196045,0.7262396112732266,0.1991839162681414,0.04036044191731059
20,0.03019973967710267,0.07376583276883415,0.022738405159148184,0.7240625516228054,0.19293961771156476,0.038789759835471276
21,0.030522803978427597,0.07394901857427928,0.14594849749751712,0.7229253546051357,0.19591937376105267,0.03863983180211938
22,0.03188275165208008,0.07397487370864204,0.06666468733759678,0.7222204389779464,0.19355156045892966,0.03660595084985961
23,0.026979625488266996,0.07371409982442856,0.11064520593651611,0.7237023322478585,0.19481733959654104,0.0394096164761678
24,0.027269917459267635,0.07416707439267117,0.09915035047932812,0.7204005407250446,0.18901951740617337,0.03819935031883095
25,0.026761346213195637,0.07384601688903311,0.12842243136433157,0.7221981001936871,0.18898911126281903,0.03432400281662527
26,0.028725357766708603,0.07383580862180046,0.12645821304708396,0.7216517147810563,0.18803799411524896,0.03426676940010941
27,0.027931639681691708,0.07363124062185702,0.09377636230024307,0.7265339960222659,0.1893048590939978,0.0354070158108421
28,0.029046779417473335,0.0738263625813567,0.059928769579805106,0.7209603786468506,0.19416413099869437,0.036269916707406875
29,0.029312917071840038,0.07416708022356033,0.04064867226406932,0.7198917269706726,0.19413892665634985,0.03661201942874038
30,0.030978443627448185,0.07386833299761233,0.16287783604196232,0.7230438227238862,0.18979409984920337,0.03583041327479093
31,0.029557842275370724,0.07388772426739983,0.046302725662193865,0.7214578312376271,0.18739824580109637,0.03461420406465945
32,0.028097553340637165,0.0739020766771358,0.11833171567717649,0.7214656057565109,0.19069109338781107,0.03588569731168125
33,0.028889139061388763,0.07434908656970314,0.06364829615568338,0.7179499683172806,0.19033955750258072,0.034154707808857376
34,0.028120785789645237,0.07435879046502321,0.07631345322031689,0.7161190509796143,0.18953398971453958,0.03322925313335398
35,0.029282978675125734,0.07433475197657295,0.17332122764428673,0.7161242106686467,0.18556447456712308,0.03199231381649557
36,0.026724920891549275,0.07413702587718549,0.048801517883396664,0.7196181079615718,0.18703492568886798,0.0335348438795494
37,0.029207913994627153,0.07445655406817146,0.1598265392948752,0.7172144210856893,0.1827659652284954,0.03175643467060898
38,0.028810270859495453,0.07446627966735674,0.0765007597029857,0.7184906575990759,0.1842901894579763,0.03151744045317173
39,0.030019871829806463,0.07425309231747752,0.13345384520842976,0.7173890056817428,0.1835132474484651,0.032818868594325104
40,0.028396558907368908,0.07450861516206161,0.058620908783505794,0.714073147462762,0.1864701606657194,0.03194175579625627
